#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-27T01:44:54 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-27T01:44:55	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/646/A77/catalog&-order=I&-out=Star&-out=Nobs&-out=Nnights&-out=Tspan&-out=snr-med&-out=DateStart&-out=DateEnd&-out=Vmag&-out=e_Vmag&-out=r_Vmag&-out.all=2&-out=B-V&-out=e_B-V&-out=r_B-V&-out=plx&-out=e_plx&-out=r_plx&-out=d&-out=Nplt&-out=SpType&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out.all=2&-out=[Fe/H]&-out=e_[Fe/H]&-out=r_Teff&-out=Mass&-out=e_Mass&-out=Radius&-out=e_Radius&-out=Age&-out=e_Age&-out=SMWmed&-out=SMWwmean&-out=e_SMW&-out=s_SMW&-out.all=2&-out=logRHKmed&-out=logRHKwmean&-out=e_logRHK&-out=R5med&-out=R5wmean&-out=e_R5&-out=s_R5&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36460077
#Name: J/A+A/646/A77
#Title: Chromospheric activity from AMBRE-HARPS (Gomes da Silva+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/646/a77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/646/a77	    IVOID of underlying data collection
#INFO	creator=Gomes da Silva J.	    First author or institution
#INFO	cites=bibcode:2021A&A...646A..77G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/646/A77	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36460077	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_646_A77_catalog:
#Name: J/A+A/646/A77/catalog
#Title: Catalogue data
#Column	Star	(a23)	Stellar main identification in SIMBAD	[ucd=meta.id;meta.main]
#Column	Nobs	(I5)	Total number of observations	[ucd=meta.number]
#Column	Nnights	(I3)	Total number of nights	[ucd=meta.number]
#Column	Tspan	(I4)	Timespan of observations	[ucd=time.interval]
#Column	snr-med	(I3)	Median signal-to-noise ratio	[ucd=em.wl.central;stat.median]
#Column	DateStart	(A23)	Date of start of observations	[ucd=time.epoch]
#Column	DateEnd	(A23)	Date of end of observations	[ucd=time.epoch]
#Column	Vmag	(F6.3)	? Apparent V-band magnitude (dereddened)	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? Apparent V-band magnitude uncertainty	[ucd=stat.error;phot.mag]
#Column	r_Vmag	(A19)	Apparent V-band magnitude reference	[ucd=meta.ref;pos.frame]
#Column	B-V	(F6.3)	? B-V colour (dereddened)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? B-V colour uncertainty	[ucd=stat.error;phot.color;em.opt.B]
#Column	r_B-V	(A19)	B-V colour reference	[ucd=meta.ref;phot.color;em.opt.B]
#Column	plx	(F7.3)	? Parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	? Parallax uncertainty	[ucd=stat.error;pos.parallax]
#Column	r_plx	(A19)	Parallax reference	[ucd=meta.ref;pos.frame]
#Column	d	(F7.2)	? Geometric distance	[ucd=pos.distance]
#Column	Nplt	(I1)	? Number of planets in system (as of 2019-12-12)	[ucd=meta.number]
#Column	SpType	(A2)	Spectral type	[ucd=src.spType]
#Column	Teff	(I4)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(F5.1)	? Effective temperature uncertainty	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	? Logarithm of surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	? Logarithm of surface gravity uncertainty	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F5.2)	? Metallicity uncertainty	[ucd=stat.error;phys.abund.Fe]
#Column	r_Teff	(a19)	Reference for teff, logg, and feh	[ucd=meta.ref;pos.frame]
#Column	Mass	(F6.3)	? Mass	[ucd=phys.mass]
#Column	e_Mass	(F6.3)	? Mass uncertainty	[ucd=stat.error;phys.mass]
#Column	Radius	(F6.3)	? Radius	[ucd=phys.angSize;src]
#Column	e_Radius	(F6.3)	? Radius uncertainty	[ucd=stat.error;phys.size.radius]
#Column	Age	(F6.3)	? Age	[ucd=time.age]
#Column	e_Age	(F6.3)	? Age uncertainty	[ucd=stat.error;time.age]
#Column	SMWmed	(F7.4)	Median S-index in Mt. Wilson scale	[ucd=spect.index]
#Column	SMWwmean	(F7.4)	Weighted mean S-index in Mt. Wilson scale	[ucd=spect.index]
#Column	e_SMW	(F7.4)	Uncertainty of S-index in Mt. Wilson scale	[ucd=stat.error]
#Column	s_SMW	(F7.4)	Weighted standard deviation of S-index in Mt. Wilson scale	[ucd=stat.stdev;phys.atmol.wOscStrength]
#Column	logRHKmed	(F7.4)	? Median log R'_HK_ index	[ucd=phot.flux;arith.ratio]
#Column	logRHKwmean	(F7.4)	? Weighted mean log R'_HK_ index	[ucd=phot.flux;arith.ratio]
#Column	e_logRHK	(F7.4)	? Uncertanty on log R'_HK_ index	[ucd=stat.error]
#Column	R5med	(F6.3)	? Median R_5_ index (R_5_ = R'_HK_ x 10^5)	[ucd=phot.flux;arith.ratio]
#Column	R5wmean	(F6.3)	? Weighted mean R_5_ index	[ucd=phot.flux;arith.ratio]
#Column	e_R5	(F6.3)	? Uncertainty on R_5_ index	[ucd=stat.error]
#Column	s_R5	(F6.3)	? Weighted standard deviation of R_5_ index	[ucd=spect.index]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Star;Nobs;Nnights;Tspan;snr-med;DateStart;DateEnd;Vmag;e_Vmag;r_Vmag;B-V;e_B-V;r_B-V;plx;e_plx;r_plx;d;Nplt;SpType;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];r_Teff;Mass;e_Mass;Radius;e_Radius;Age;e_Age;SMWmed;SMWwmean;e_SMW;s_SMW;logRHKmed;logRHKwmean;e_logRHK;R5med;R5wmean;e_R5;s_R5;Simbad;_RA;_DE
HD 19773               ;    8;  8;2198; 96;2007-09-22T06:26:44.375;2013-09-28T03:28:32.398; 8.048; 0.010;1997A&A...323L..49P; 0.547; 0.015;2007A&A...474..653V; 14.480; 0.061;2018A&A...616A...1G;  69.06;0;F6;6309; 30.0; 4.06; 0.05; 0.32; 0.02;thiswork           ; 1.315; 0.010; 1.259; 0.001; 0.275; 0.190; 0.1871; 0.1848; 0.0010; 0.0053;-4.7700;-4.7803; 0.0043; 1.698; 1.658; 0.017; 0.094;Simbad;047.68057;-06.52601
HD 197818              ;   15; 14;2322;136;2007-06-03T08:47:34.992;2013-10-11T01:15:54.506; 7.658; 0.010;1997A&A...323L..49P; 0.619; 0.009;2007A&A...474..653V; 27.106; 0.048;2018A&A...616A...1G;  36.89;0;G2;5808; 24.0; 4.21; 0.06;-0.10; 0.02;thiswork           ; 0.967; 0.017; 0.968; 0.020; 5.026; 1.332; 0.1763; 0.1771; 0.0007; 0.0039;-4.8959;-4.8917; 0.0038; 1.271; 1.283; 0.011; 0.060;Simbad;311.64279;-17.16290
HD 197823              ;   22; 18;1056;117;2004-10-09T00:21:06.775;2007-08-31T05:47:53.830; 8.249; 0.010;1997A&A...323L..49P; 0.755; 0.021;2007A&A...474..653V; 27.004; 0.066;2018A&A...616A...1G;  37.03;0;G9;5396; 32.0; 4.41; 0.06; 0.12; 0.02;2008A&A...487..373S; 0.927; 0.024; 0.887; 0.020; 4.939; 2.889; 0.2376; 0.2486; 0.0010; 0.0205;-4.7644;-4.7350; 0.0027; 1.720; 1.841; 0.011; 0.226;Simbad;311.81925;-35.15409
HD 1979                ;   26; 19;4726; 46;2004-10-30T05:32:20.437;2017-10-08T06:20:26.869; 8.714; 0.010;1997A&A...323L..49P; 0.728; 0.020;2007A&A...474..653V; 19.720; 0.051;2018A&A...616A...1G;  50.71;0;G5;5626; 16.0; 4.43; 0.02;-0.09; 0.01;2017A&A...606A..94D; 0.929; 0.014; 0.879; 0.016; 4.398; 1.368; 0.2051; 0.2024; 0.0017; 0.0126;-4.8495;-4.8593; 0.0063; 1.414; 1.383; 0.021; 0.149;Simbad;005.98527;-14.34645
HD 197921              ;    9;  1;   1; 50;2007-06-04T09:57:20.372;2017-05-10T07:57:26.186; 9.241; 0.010;1997A&A...323L..49P; 0.976; 0.013;2007A&A...474..653V; 25.494; 0.040;2018A&A...616A...1G;  39.22;0;K3;4913;108.0; 4.55; 0.21; 0.13; 0.08;2011A&A...533A.141S; 0.819; 0.025; 0.765; 0.017; 5.065; 4.794; 0.2236; 0.2236; 0.0025; 0.0000;-4.9621;-4.9621; 0.0056; 1.091; 1.091; 0.014; 0.000;Simbad;312.29248;-54.77774
HD 198075              ;   22; 22;2887;108;2004-12-04T00:29:21.675;2012-10-30T01:19:48.237; 8.016; 0.010;1997A&A...323L..49P; 0.618; 0.015;2007A&A...474..653V; 24.042; 0.044;2018A&A...616A...1G;  41.59;0;G1;5846; 18.0; 4.39; 0.02;-0.24; 0.01;2008A&A...487..373S; 0.925; 0.013; 0.912; 0.004; 4.991; 1.093; 0.1714; 0.1711; 0.0008; 0.0026;-4.9207;-4.9224; 0.0045; 1.200; 1.196; 0.013; 0.040;Simbad;312.06329;-12.45430
HD 199086              ;    7;  5;2628; 61;2006-06-03T10:28:18.275;2017-07-31T06:30:42.460; 7.805; 0.010;1997A&A...323L..49P; 0.614; 0.013;2007A&A...474..653V; 18.926; 0.054;2018A&A...616A...1G;  52.84;0;F8;6149; 39.0; 4.36; 0.05; 0.18; 0.03;2017A&A...606A..94D; 1.207; 0.018; 1.148; 0.006; 0.570; 0.481; 0.1711; 0.1696; 0.0014; 0.0044;-4.9190;-4.9277; 0.0080; 1.205; 1.181; 0.022; 0.068;Simbad;313.76402;-07.17868
HD 199190              ;   78; 25; 763;129;2004-07-15T08:05:27.077;2006-09-03T05:15:31.972; 6.853; 0.010;1997A&A...323L..49P; 0.624; 0.007;2007A&A...474..653V; 26.052; 0.028;2018A&A...616A...1G;  38.38;0;G0;5926; 17.0; 4.05; 0.02; 0.15; 0.01;2008A&A...487..373S; 1.155; 0.019; 1.380; 0.002; 4.932; 0.709; 0.1536; 0.1533; 0.0007; 0.0022;-5.0379;-5.0406; 0.0047; 0.916; 0.911; 0.010; 0.033;Simbad;315.02415;-69.57943
HD 199260              ;   49; 12;2456;214;2004-09-22T00:49:04.699;2011-06-14T09:23:51.482; 5.702; 0.010;1997A&A...323L..49P; 0.508; 0.011;2007A&A...474..653V; 46.976; 0.150;2018A&A...616A...1G;  21.29;0;  ;    ;     ;     ;     ;     ;     ;                   ;      ;      ;      ;      ;      ;      ; 0.2940; 0.2947; 0.0006; 0.0072;       ;       ;       ;      ;      ;      ;      ;Simbad;314.19721;-26.29638
HD 199288              ; 1136;168;4849;214;2003-11-04T01:05:35.187;2017-09-06T04:49:38.740; 6.521; 0.010;1997A&A...323L..49P; 0.588; 0.012;2007A&A...474..653V; 46.318; 0.052;2018A&A...616A...1G;  21.59;0;G2;5765; 19.0; 4.36; 0.02;-0.63; 0.01;2008A&A...487..373S; 0.913; 0.003; 1.000; 0.005; 0.018; 0.000; 0.1720; 0.1722; 0.0006; 0.0017;-4.8884;-4.8868; 0.0033; 1.293; 1.298; 0.010; 0.027;Simbad;314.41695;-44.12937
HD 199289              ;   82; 61;3408; 86;2003-11-04T01:08:35.369;2014-10-29T00:41:40.594; 8.273; 0.010;1997A&A...323L..49P; 0.534; 0.012;2007A&A...474..653V; 19.826; 0.052;2018A&A...616A...1G;  50.44;0;G0;5928; 37.0; 4.43; 0.03;-0.98; 0.03;2017A&A...606A..94D; 0.884; 0.017; 0.982; 0.022; 0.016; 0.012; 0.1687; 0.1687; 0.0009; 0.0020;-4.8463;-4.8466; 0.0050; 1.424; 1.424; 0.017; 0.036;Simbad;314.53552;-48.20374
HD 199604              ;   77; 54;4450; 79;2003-11-04T01:41:52.453;2017-10-01T05:00:42.568; 8.555; 0.010;1997A&A...323L..49P; 0.566; 0.017;2007A&A...474..653V; 15.314; 0.081;2018A&A...616A...1G;  65.30;0;G2;5817; 22.0; 4.18; 0.03;-0.62; 0.02;2017A&A...606A..94D; 1.015; 0.011; 1.149; 0.008; 0.013; 0.001; 0.1638; 0.1639; 0.0009; 0.0033;-4.9123;-4.9118; 0.0057; 1.224; 1.225; 0.016; 0.056;Simbad;314.77199;-25.38083
HD 199847              ;  146; 73;5120; 69;2003-11-04T01:14:41.113;2018-06-04T09:41:00.426; 8.785; 0.010;1997A&A...323L..49P; 0.604; 0.013;2007A&A...474..653V; 11.133; 0.037;2018A&A...616A...1G;  89.82;0;G2;5763; 20.0; 4.08; 0.02;-0.54; 0.02;2017A&A...606A..94D; 0.844; 0.009; 1.446; 0.007;13.076; 0.230; 0.1559; 0.1559; 0.0010; 0.0034;-5.0029;-5.0033; 0.0067; 0.993; 0.992; 0.015; 0.053;Simbad;315.66257;-61.88055
HD 199868              ;    9;  5;4652; 60;2004-07-15T06:45:19.235;2017-04-10T08:59:27.575; 7.624; 0.010;1997A&A...323L..49P; 0.540; 0.003;2007A&A...474..653V; 19.167; 0.041;2018A&A...616A...1G;  52.17;0;F8;6152; 22.0; 4.16; 0.03;-0.13; 0.02;2017A&A...606A..94D; 1.081; 0.014; 1.217; 0.025; 4.559; 1.020; 0.1590; 0.1590; 0.0013; 0.0054;-4.9116;-4.9118; 0.0083; 1.226; 1.225; 0.023; 0.096;Simbad;315.94548;-68.07180
HD 199933              ;    2;  2;   4; 65;2004-05-21T09:32:20.268;2004-05-25T09:38:20.359; 9.357; 0.010;1997A&A...323L..49P; 1.045; 0.006;2007A&A...474..653V; 32.285; 0.044;2018A&A...616A...1G;  30.97;0;K3;4730; 69.0; 4.58; 0.16;-0.15; 0.03;2008A&A...487..373S; 0.711; 0.015; 0.661; 0.006; 4.673; 4.631; 0.7590; 0.7615; 0.0038; 0.0410;-4.4805;-4.4790; 0.0022; 3.308; 3.319; 0.017; 0.183;Simbad;315.57602;-52.29140
HD 199981              ;   24; 11;3679; 40;2007-06-04T10:25:03.281;2017-06-30T06:40:56.025; 9.375; 0.010;1997A&A...323L..49P; 1.241; 0.004;2007A&A...474..653V; 48.723; 0.058;2018A&A...616A...1G;  20.52;0;K4;4546;118.0; 4.49; 0.38;-0.32; 0.05;thiswork           ; 0.593; 0.011; 0.543; 0.011; 4.726; 4.862; 1.1444; 1.1485; 0.0081; 0.0478;-4.6117;-4.6102; 0.0031; 2.445; 2.454; 0.017; 0.102;Simbad;315.41292;-32.52448
HD 20003               ;  203;190;5010; 93;2003-12-11T03:07:12.733;2017-08-29T09:24:24.749; 8.379; 0.010;1997A&A...323L..49P; 0.767; 0.015;2007A&A...474..653V; 23.876; 0.028;2018A&A...616A...1G;  41.88;2;G8;5494; 27.0; 4.37; 0.05; 0.04; 0.02;2008A&A...487..373S; 0.928; 0.021; 0.907; 0.014; 5.605; 2.255; 0.1703; 0.1753; 0.0010; 0.0120;-5.0122;-4.9891; 0.0050; 0.972; 1.026; 0.011; 0.128;Simbad;046.90799;-72.32189
HD 200078              ;    6;  3;   8;128;2005-05-11T09:32:43.883;2005-05-20T09:27:52.468; 8.012; 0.010;1997A&A...323L..49P; 0.693; 0.011;2007A&A...474..653V; 17.477; 0.054;2018A&A...616A...1G;  57.22;0;G1;5839; 77.0; 4.36; 0.25; 0.34; 0.05;thiswork           ; 1.156; 0.029; 1.251; 0.046; 3.467; 1.890; 0.1530; 0.1529; 0.0007; 0.0007;-5.0861;-5.0868; 0.0046; 0.820; 0.819; 0.009; 0.009;Simbad;315.18150;+17.44799
HD 200083              ;   25;  5;2194; 48;2006-06-03T09:25:50.483;2014-09-29T02:33:22.126; 9.623; 0.010;1997A&A...323L..49P; 1.056; 0.015;2007A&A...474..653V; 26.257; 0.049;2018A&A...616A...1G;  38.09;0;K3;4828;112.0; 4.64; 0.21;-0.09; 0.07;2011A&A...533A.141S; 0.737; 0.021; 0.687; 0.014; 4.781; 4.695; 0.3192; 0.3246; 0.0031; 0.0266;-4.8860;-4.8783; 0.0045; 1.300; 1.323; 0.013; 0.114;Simbad;315.47116;-22.58260
HD 200143              ;   31; 20;3354; 38;2004-05-21T09:55:32.842;2016-05-20T09:15:39.734; 9.711; 0.010;1997A&A...323L..49P; 0.904; 0.005;2007A&A...474..653V; 18.663; 0.043;2018A&A...616A...1G;  53.58;0;K2;4998; 59.6; 4.55; 0.11; 0.01; 0.03;2017A&A...606A..94D; 0.813; 0.022; 0.782; 0.017; 7.236; 5.106; 0.5634; 0.5641; 0.0047; 0.0237;-4.4340;-4.4334; 0.0039; 3.681; 3.686; 0.033; 0.169;Simbad;315.67170;-34.81293
HD 200349              ;   33; 12; 329; 42;2004-09-23T02:37:26.178;2009-10-06T03:18:48.941; 9.414; 0.010;1997A&A...323L..49P; 1.038; 0.015;2007A&A...474..653V; 30.792; 0.036;2018A&A...616A...1G;  32.48;0;K3;4844; 89.0; 4.72; 0.17;-0.26; 0.06;2011A&A...533A.141S; 0.696; 0.018; 0.650; 0.015; 4.309; 4.359; 0.4678; 0.4699; 0.0040; 0.0116;-4.6873;-4.6853; 0.0039; 2.054; 2.064; 0.018; 0.053;Simbad;316.38206;-59.13838
HD 200505              ;    1;  1;   1; 54;2004-08-01T07:50:15.199;2004-08-01T07:50:15.199; 8.548; 0.010;1997A&A...323L..49P; 0.839; 0.003;2007A&A...474..653V; 35.917; 0.037;2018A&A...616A...1G;  27.84;0;K2;5035; 38.0; 4.59; 0.08;-0.46; 0.02;2017A&A...606A..94D; 0.698; 0.012; 0.682; 0.015;10.084; 4.111; 0.3974; 0.3974; 0.0026; 0.0000;-4.5376;-4.5376; 0.0034; 2.900; 2.900; 0.023; 0.000;Simbad;316.94134;-67.92032
HD 200538              ;   48; 29;3598; 51;2004-09-23T02:32:30.520;2017-04-10T08:46:12.030; 7.694; 0.010;1997A&A...323L..49P; 0.597; 0.015;2007A&A...474..653V; 18.237; 0.063;2018A&A...616A...1G;  54.83;0;F9;6042; 18.0; 4.13; 0.03; 0.10; 0.01;2017A&A...606A..94D; 1.153; 0.011; 1.292; 0.030; 3.937; 1.140; 0.1556; 0.1551; 0.0012; 0.0056;-4.9980;-5.0017; 0.0085; 1.005; 0.996; 0.020; 0.090;Simbad;316.27047;-32.82617
HD 200633              ;   45; 39;4105; 99;2006-07-29T05:59:50.685;2017-10-24T01:49:46.535; 8.339; 0.010;1997A&A...323L..49P; 0.639; 0.004;2007A&A...474..653V; 18.619; 0.076;2018A&A...616A...1G;  53.71;0;G1;5853; 22.0; 4.33; 0.03; 0.05; 0.02;2017A&A...606A..94D; 1.053; 0.017; 1.005; 0.015; 2.554; 1.148; 0.1620; 0.1623; 0.0009; 0.0028;-4.9937;-4.9917; 0.0057; 1.015; 1.019; 0.013; 0.041;Simbad;316.18395;-04.82890
HD 200763              ;    9;  9; 743;128;2006-11-05T23:58:26.200;2008-11-18T00:41:18.927; 5.153; 0.010;1997A&A...323L..49P; 1.087; 0.004;2007A&A...474..653V;  9.304; 0.133;2018A&A...616A...1G; 107.48;0;K3;4739; 52.0; 2.88; 0.15; 0.06; 0.03;thiswork           ; 2.656; 0.145;14.917; 0.641; 0.638; 0.130; 0.1142; 0.1141; 0.0008; 0.0033;-5.3168;-5.3170; 0.0034; 0.482; 0.482; 0.004; 0.015;Simbad;316.60282;-32.34162
HD 200869              ;    9;  7;1819; 61;2007-09-22T03:03:41.833;2013-06-01T08:42:13.480; 9.373; 0.010;1997A&A...323L..49P; 0.849; 0.043;2007A&A...474..653V; 14.041; 0.094;2018A&A...616A...1G;  71.22;0;G8;5460; 48.0; 4.28; 0.09; 0.34; 0.04;thiswork           ; 0.991; 0.027; 0.983; 0.025; 4.745; 3.093; 0.1580; 0.1533; 0.0012; 0.0105;-5.0880;-5.1100; 0.0053; 0.817; 0.776; 0.010; 0.089;Simbad;316.73824;-28.44876
HD 200962              ;    9;  9; 427;118;2005-05-19T09:26:04.115;2006-07-20T04:26:59.166; 8.138; 0.010;1997A&A...323L..49P; 0.609; 0.015;2007A&A...474..653V; 16.465; 0.072;2018A&A...616A...1G;  60.73;0;G0;5902; 22.0; 4.11; 0.03; 0.10; 0.02;thiswork           ; 1.088; 0.013; 1.225; 0.028; 5.425; 0.954; 0.1587; 0.1592; 0.0008; 0.0019;-4.9886;-4.9854; 0.0053; 1.027; 1.034; 0.012; 0.029;Simbad;316.60796;+13.11426
HD 201219              ;   12; 12; 435; 58;2005-05-11T09:49:50.446;2006-07-20T04:04:16.886; 8.018; 0.010;1997A&A...323L..49P; 0.695; 0.020;2007A&A...474..653V; 26.388; 0.064;2018A&A...616A...1G;  37.90;0;G5;5656; 31.0; 4.32; 0.05; 0.20; 0.02;thiswork           ; 1.036; 0.013; 0.912; 0.004; 0.545; 0.481; 0.3065; 0.3042; 0.0019; 0.0138;-4.5551;-4.5597; 0.0039; 2.786; 2.756; 0.025; 0.177;Simbad;316.98550;+07.43294
HD 2014                ;    5;  2;   1; 45;2003-10-31T02:24:58.644;2012-08-13T07:08:26.362; 9.553; 0.010;1997A&A...323L..49P; 0.901; 0.005;2007A&A...474..653V; 20.274; 0.049;2018A&A...616A...1G;  49.32;0;K2;5001; 48.5; 4.45; 0.13;-0.06; 0.03;2017A&A...606A..94D; 0.793; 0.019; 0.768; 0.016; 8.627; 4.859; 0.2110; 0.2092; 0.0023; 0.0066;-4.9316;-4.9363; 0.0061; 1.171; 1.158; 0.017; 0.047;Simbad;006.09179;-24.84882
HD 201422              ;    2;  1;   1; 45;2006-06-03T09:20:11.859;2006-06-03T09:35:42.072; 8.525; 0.010;1997A&A...323L..49P; 0.617; 0.002;2007A&A...474..653V; 19.761; 0.061;2018A&A...616A...1G;  50.60;0;G1;5841; 35.0; 4.46; 0.04;-0.16; 0.03;2017A&A...606A..94D; 0.972; 0.021; 0.890; 0.020; 1.327; 1.265; 0.3055; 0.3055; 0.0016; 0.0000;-4.4872;-4.4872; 0.0033; 3.257; 3.257; 0.025; 0.000;Simbad;317.53303;-24.82311
HD 201496              ;    9;  7;3694; 54;2006-06-03T09:42:18.471;2016-07-14T07:03:17.951; 8.046; 0.010;1997A&A...323L..49P; 0.604; 0.015;2007A&A...474..653V; 17.470; 0.062;2018A&A...616A...1G;  57.24;0;G0;5974; 26.0; 4.22; 0.03;-0.04; 0.02;2017A&A...606A..94D; 1.049; 0.015; 1.180; 0.027; 5.642; 1.120; 0.1636; 0.1635; 0.0013; 0.0034;-4.9536;-4.9543; 0.0078; 1.113; 1.111; 0.020; 0.053;Simbad;317.66946;-23.31153
HD 201757              ;   13;  9;1459;108;2008-09-15T02:27:05.853;2012-09-13T23:14:38.520; 8.179; 0.010;1997A&A...323L..49P; 0.710; 0.017;2007A&A...474..653V; 13.959; 0.196;2018A&A...616A...1G;  71.64;0;G2;5809; 40.0; 4.04; 0.07; 0.22; 0.03;thiswork           ; 1.164; 0.037; 1.462; 0.034; 5.434; 1.271; 0.1517; 0.1523; 0.0009; 0.0022;-5.1012;-5.0973; 0.0061; 0.792; 0.799; 0.011; 0.027;Simbad;318.36536;-49.79461
HD 202206              ;   67; 62;4872;121;2004-05-21T08:34:36.702;2017-09-22T02:30:46.399; 8.066; 0.010;1997A&A...323L..49P; 0.709; 0.012;2007A&A...474..653V; 21.726; 0.065;2018A&A...616A...1G;  46.03;1;G2;5757; 25.0; 4.33; 0.03; 0.29; 0.02;2008A&A...487..373S; 1.103; 0.017; 1.015; 0.022; 0.986; 0.844; 0.2318; 0.2336; 0.0009; 0.0111;-4.7487;-4.7434; 0.0028; 1.784; 1.806; 0.011; 0.137;Simbad;318.74070;-20.78921
HD 202389              ;   11;  5;  33; 36;2007-06-06T10:09:58.992;2009-09-17T04:57:23.843;10.036; 0.010;1997A&A...323L..49P; 1.077; 0.005;2007A&A...474..653V; 25.463; 0.035;2018A&A...616A...1G;  39.27;0;K4;4565; 44.4; 4.58; 0.20;-0.24; 0.03;2017A&A...606A..94D; 0.676; 0.014; 0.635; 0.011; 6.813; 5.441; 0.5771; 0.5829; 0.0051; 0.0072;-4.6495;-4.6450; 0.0039; 2.241; 2.264; 0.020; 0.029;Simbad;319.24953;-46.06262
HD 2025                ;    6;  6;2134;149;2003-10-30T04:05:37.496;2009-09-02T06:21:35.490; 7.922; 0.010;1997A&A...323L..49P; 0.941; 0.010;2007A&A...474..653V; 55.706; 0.071;2018A&A...616A...1G;  17.95;0;K3;4851; 49.0; 4.70; 0.13;-0.37; 0.02;2017A&A...606A..94D; 0.692; 0.015; 0.659; 0.007; 6.841; 4.911; 0.3499; 0.3542; 0.0011; 0.0165;-4.7044;-4.6985; 0.0016; 1.975; 2.002; 0.007; 0.105;Simbad;006.10806;-27.02677
HD 202871              ;   56; 41;2625; 45;2005-06-30T06:34:47.946;2012-09-06T03:50:04.886; 8.207; 0.010;1997A&A...323L..49P; 0.556; 0.006;2007A&A...474..653V; 18.168; 0.053;2018A&A...616A...1G;  55.04;0;F9;6055; 16.0; 4.28; 0.04;-0.09; 0.01;2017A&A...606A..94D; 1.070; 0.012; 1.023; 0.024; 1.897; 0.589; 0.1854; 0.1866; 0.0016; 0.0086;-4.7880;-4.7825; 0.0075; 1.629; 1.650; 0.028; 0.148;Simbad;320.02032;-42.67869
HD 203335              ;   10;  5;2875; 49;2006-09-04T05:48:34.213;2017-07-31T06:41:02.824; 7.454; 0.010;1997A&A...323L..49P; 0.540; 0.004;2007A&A...474..653V; 19.192; 0.035;2018A&A...616A...1G;  52.11;0;F6;6306; 34.0; 4.21; 0.05;-0.04; 0.03;2017A&A...606A..94D; 1.183; 0.021; 1.252; 0.019; 2.335; 0.799; 0.1535; 0.1537; 0.0014; 0.0073;-4.9474;-4.9461; 0.0098; 1.129; 1.132; 0.025; 0.131;Simbad;320.91650;-55.54302
HD 203384              ;   21; 21;2890;123;2004-12-02T00:28:10.566;2012-10-31T01:23:45.476; 8.028; 0.010;1997A&A...323L..49P; 0.761; 0.002;2007A&A...474..653V; 24.452; 0.053;2018A&A...616A...1G;  40.90;0;G6;5586; 35.0; 4.33; 0.05; 0.26; 0.02;2008A&A...487..373S; 1.027; 0.022; 0.991; 0.020; 3.394; 2.141; 0.1614; 0.1613; 0.0009; 0.0044;-5.0554;-5.0560; 0.0046; 0.880; 0.879; 0.009; 0.048;Simbad;320.47367;-04.17430
